Timestamp,Charging_per_day,MAX. TEMP(F),MIN. TEMP(F),Precipitation (Inches),Snowfall (Inches),Snow Cover (Inches),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekend,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Hour_0
2018-03-20,112.98118056596417,51,25,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-03-21,182.90319923017645,60,27,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-03-22,225.18051094671677,72,38,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-03-23,316.4045888503027,70,51,0.0,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-03-24,191.55770544263262,64,31,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-03-25,225.29670688833417,62,31,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-03-26,151.66837763889083,56,35,0.1,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-03-27,70.4839792848315,47,26,0.61,3.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-03-28,174.06000218960222,47,29,0.39,1.5,1,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-03-29,105.15848093875476,47,24,0.19,1.2,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-03-30,173.46494131357653,63,25,0.01,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-03-31,158.49944174709768,59,31,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-04-01,82.97074223454877,49,24,0.02,0.1,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-04-02,68.59639972343525,74,31,0.0,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-04-03,149.9603008033138,65,30,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-04-04,226.34665992270985,62,23,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-04-05,342.11932984238143,65,37,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-04-06,308.6822661623865,58,24,0.38,4.1,4,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-04-07,220.78375759977507,50,22,0.02,0.1,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-04-08,181.689163044991,62,41,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-04-09,159.26736837134536,57,33,0.04,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-04-10,277.29591807761784,69,35,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-04-11,171.86695217330083,76,52,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-04-12,319.42594671489667,76,40,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
